"AtomicNumber","Symbol","Name","PersianName"
1,"H","Hydrogen","هیدروژن"
2,"He","Helium","هلیوم"
3,"Li","Lithium","لیتیم"
4,"Be","Beryllium","بریلیم"
5,"B","Boron","بور"
6,"C","Carbon","کربن"
7,"N","Nitrogen","نیتروژن"
8,"O","Oxygen","اکسیژن"
9,"F","Fluorine","فلوئور"
10,"Ne","Neon","نئون"
11,"Na","Sodium","سدیم"
12,"Mg","Magnesium","منیزیم"
13,"Al","Aluminum","آلومینیوم"
14,"Si","Silicon","سیلیسیم"
15,"P","Phosphorus","فسفر"
16,"S","Sulfur","گوگرد"
17,"Cl","Chlorine","کلر"
18,"Ar","Argon","آرگون"
19,"K","Potassium","پتاسیم"
20,"Ca","Calcium","کلسیم"
21,"Sc","Scandium","اسکاندیم"
22,"Ti","Titanium","تیتانیم"
23,"V","Vanadium","وانادیم"
24,"Cr","Chromium","کروم"
25,"Mn","Manganese","منگنز"
26,"Fe","Iron","آهن"
27,"Co","Cobalt","کبالت"
28,"Ni","Nickel","نیکل"
29,"Cu","Copper","مس"
30,"Zn","Zinc","روی"
31,"Ga","Gallium","گالیم"
32,"Ge","Germanium","ژرمانیم"
33,"As","Arsenic","آرسنیک"
34,"Se","Selenium","سلنیوم"
35,"Br","Bromine","برم"
36,"Kr","Krypton","کریپتون"
37,"Rb","Rubidium","روبیدیم"
38,"Sr","Strontium","استرانسیم"
39,"Y","Yttrium","ایتریم"
40,"Zr","Zirconium","زیرکونیم"
41,"Nb","Niobium","نیوبیم"
42,"Mo","Molybdenum","مولیبدن"
43,"Tc","Technetium","تکنسیم"
44,"Ru","Ruthenium","روتنیم"
45,"Rh","Rhodium","رودیم"
46,"Pd","Palladium","پالادیم"
47,"Ag","Silver","نقره"
48,"Cd","Cadmium","کادمیم"
49,"In","Indium","ایندیم"
50,"Sn","Tin","قلع"
51,"Sb","Antimony","آنتیموان"
52,"Te","Tellurium","تلوریم"
53,"I","Iodine","ید"
54,"Xe","Xenon","زنون"
55,"Cs","Cesium","سزیم"
56,"Ba","Barium","باریم"
57,"La","Lanthanum","لانتانیم"
58,"Ce","Cerium","سریم"
59,"Pr","Praseodymium","پرازئودیمیم"
60,"Nd","Neodymium","نئودیمیم"
61,"Pm","Promethium","پرومتیم"
62,"Sm","Samarium","ساماریم"
63,"Eu","Europium","یوروپیم"
64,"Gd","Gadolinium","گادولینیم"
65,"Tb","Terbium","تربیم"
66,"Dy","Dysprosium","دیسپروزیم"
67,"Ho","Holmium","هولمیم"
68,"Er","Erbium","اربیم"
69,"Tm","Thulium","تولیم"
70,"Yb","Ytterbium","ایتربیوم"
71,"Lu","Lutetium","لوتتیم"
72,"Hf","Hafnium","هافنیم"
73,"Ta","Tantalum","تانتالوم"
74,"W","Tungsten","تنگستن"
75,"Re","Rhenium","رنیوم"
76,"Os","Osmium","اسمیم"
77,"Ir","Iridium","ایریدیم"
78,"Pt","Platinum","پلاتین"
79,"Au","Gold","طلا"
80,"Hg","Mercury","جیوه"
81,"Tl","Thallium","تالیم"
82,"Pb","Lead","سرب"
83,"Bi","Bismuth","بیسموت"
84,"Po","Polonium","پولونیم"
85,"At","Astatine","استاتین"
86,"Rn","Radon","رادون"
87,"Fr","Francium","فرانسیم"
88,"Ra","Radium","رادیم"
89,"Ac","Actinium","اکتینیم"
90,"Th","Thorium","توریم"
91,"Pa","Protactinium","پروتاکتینیم"
92,"U","Uranium","اورانیوم"
93,"Np","Neptunium","نپتونیم"
94,"Pu","Plutonium","پلوتونیم"
95,"Am","Americium","آمریسیم"
96,"Cm","Curium","کوریوم"
97,"Bk","Berkelium","برکلیم"
98,"Cf","Californium","کالیفرنیم"
99,"Es","Einsteinium","اینشتینیم"
100,"Fm","Fermium","فرمیم"
101,"Md","Mendelevium","مندلیفیم"
102,"No","Nobelium","نوبلیم"
103,"Lr","Lawrencium","لارنسیم"
104,"Rf","Rutherfordium","رادرفوردیم"
105,"Db","Dubnium","دوبنیم"
106,"Sg","Seaborgium","سیبورگیم"
107,"Bh","Bohrium","بوریم"
108,"Hs","Hassium","هاسیم"
109,"Mt","Meitnerium","مایتنریم"
110,"Ds","Darmstadtium","دارمشتادیم"
111,"Rg","Roentgenium","رونتگنیم"
112,"Cn","Copernicium","کوپرنیسیم"
113,"Nh","Nihonium","نیهونیوم"
114,"Fl","Flerovium","فلروویوم"
115,"Mc","Moscovium","مسکوویم"
116,"Lv","Livermorium","لیورموریم"
117,"Ts","Tennessine","تنسین"
118,"Og","Oganesson","اوگانسون"
