AtomicNumber,Symbol,EnglishName,PersianName,AtomicMass,GroupNumber,PeriodNumber,ElectronConfiguration,ValenceElectrons,StandardState,Block,ElementType,AtomicRadius,Electronegativity
1,H,Hydrogen,هیدروژن,1.00794,1,1,1s1,1,Gas,s,Non-metal,25,2.2
2,He,Helium,هلیوم,4.002602,18 - Noble Gas,1,1s2 ,8,Gas,p,Non-metal,28 pm (Covalent),
3,Li,Lithium,لیتیم,6.941,1 - Alkali Metal,2,[He]2s1 ,1,Solid,s,Metal,145,0.98
4,Be,Beryllium,بریلیم,9.0121831,2 - Alkaline Earth Metal,2,[He]2s2 ,2,Solid,s,Metal,105,1.57
5,B,Boron,بور,10.811,13,2,[He]2s22p1,3,Solid,p,Semi-metal,85,2.04
6,C,Carbon,کربن,12.0107,14,2,[He]2s22p2,4,Solid,p,Non-metal,70,2.55
7,N,Nitrogen,نیتروژن,14.00674,15 - Pnictogen,2,,5,Gas,p,Non-metal,65,3.04
8,O,Oxygen,اکسیژن,15.9994,16 - Chalcogen,2,[He]2s22p4 ,6,Gas,p,Non-metal,60,3.44
9,F,Fluorine,فلوئور,18.998403163,17 - Halogen,2,[He]2s22p5,7,Gas,p,Non-metal,50,3.98
10,Ne,Neon,نئون,20.1797,18 - Noble Gas,2,[He]2s22p6,8,Gas,p,Non-metal,58 pm (Covalent),
11,Na,Sodium,سدیم,22.98976928,1 - Alkali Metal,3,[Ne]3s1,1,Solid,s,Metal,180,0.93
12,Mg,Magnesium,منیزیم,24.305,2 - Alkaline Earth Metal,3,[Ne]3s2,2,Solid,s,Metal,150,1.31
13,Al,Aluminum,آلومینیوم,26.9815385,13,3,[Ne]3s23p1,3,Solid,p,Metal,125,1.61
14,Si,Silicon,سیلیسیم,28.0855,14,3,[Ne]3s23p2,4,Solid,p,Semi-metal,110,1.9
15,P,Phosphorus,فسفر,30.973761998,15 - Pnictogen,3,[Ne]3s23p3,5,Solid,p,Non-metal,100,2.19
16,S,Sulfur,گوگرد,32.066,16 - Chalcogen,3,[Ne]3s23p4,6,Solid,p,Non-metal,100,2.58
17,Cl,Chlorine,کلر,35.4527,17 - Halogen,3,[Ne]3s23p5,7,Gas,p,Non-metal,100,3.16
18,Ar,Argon,آرگون,39.948,18 - Noble Gas,3,[Ne]3s23p6,8,Gas,p,Non-metal,106(10) pm (Covalent),
19,K,Potassium,پتاسیم,39.0983,1 - Alkali Metal,4,[Ar]4s1,1,Solid,s,Metal,220,0.82
20,Ca,Calcium,کلسیم,40.078,2 - Alkaline Earth Metal,4,[Ar]4s2,2,Solid,s,Metal,180,1
21,Sc,Scandium,اسکاندیم,44.955908,3,4,[Ar]4s23d1,,Solid,d,Metal,160,1.36
22,Ti,Titanium,تیتانیم,47.867,4,4,[Ar]4s23d2,,Solid,d,Metal,140,1.54
23,V,Vanadium,وانادیم,50.9415,5,4,[Ar]4s23d3,,Solid,d,Metal,135,1.63
24,Cr,Chromium,کروم,51.9961,6,4,[Ar]3d54s1,,Solid,d,Metal,140,1.66
25,Mn,Manganese,منگنز,54.938044,7,4,[Ar]4s23d5,,Solid,d,Metal,140,1.55
26,Fe,Iron,آهن,55.845,8,4,[Ar]4s23d6,,Solid,d,Metal,140,1.83
27,Co,Cobalt,کبالت,58.933194,9,4,[Ar]4s23d7,,Solid,d,Metal,135,1.88
28,Ni,Nickel,نیکل,58.6934,10,4,[Ar]4s23d8,,Solid,d,Metal,135,1.91
29,Cu,Copper,مس,63.546,11,4,[Ar]4s13d10,,Solid,d,Metal,135,1.9
