AtomicNumber,Symbol,PersianName,Name,Atomic Mass,Density,Standard State,Electronegativity,Ionization Energy,Electron Configuration,Atomic Radius,Oxidation States,Electron Affinity,Melting Point,Boiling Point,Year Discovered,Metal / Metalloid / Nonmetal,Chemical Group / Family
1,H,هیدروژن,Hydrogen,1.0080,0.00008988,Gas,2.2,13.598,1s1,120,"+1, -1",0.754,13.81,20.28,1766,Non-metal,Nonmetal
2,He,هلیوم,Helium,4.00260,0.0001785,Gas,,24.587,1s2,140,,0.0,0.95,4.22,1868,Non-metal,Noble gas
3,Li,لیتیم,Lithium,7.0,0.534,Solid,0.98,5.392,[He]2s1,182,+1,0.618,453.65,1615,1817,Metal,Alkali metal
4,Be,بریلیم,Beryllium,9.012183,1.85,Solid,1.57,9.323,[He]2s2,153,+2,,1560,2744,1798,Metal,Alkaline earth metal
5,B,بور,Boron,10.81,2.37,Solid,2.04,8.298,[He]2s2 2p1,192,+3,0.277,2348,4273,1808,Semi-metal,Metalloid
6,C,کربن,Carbon,12.011,2.2670,Solid,2.55,11.260,[He]2s2 2p2,170,"+4, +2, -4",1.263,3823,4098,Ancient,Non-metal,Nonmetal
7,N,نیتروژن,Nitrogen,14.007,0.0012506,Gas,3.04,14.534,[He] 2s2 2p3,155,"+5, +4, +3, +2, +1, -1, -2, -3",,63.15,77.36,1772,Non-metal,Pnictogen
8,O,اکسیژن,Oxygen,15.999,0.001429,Gas,3.44,13.618,[He]2s2 2p4,152,-2,1.461,54.36,90.2,1774,Non-metal,Chalcogen
9,F,فلوئور,Fluorine,18.99840316,0.001696,Gas,3.98,17.423,[He]2s2 2p5,135,-1,3.339,53.53,85.03,1670,Non-metal,Halogen
10,Ne,نئون,Neon,20.180,0.0008999,Gas,,21.565,[He]2s2 2p6,154,0,,24.56,27.07,1898,Non-metal,Noble gas
11,Na,سدیم,Sodium,22.9897693,0.00097,Solid,0.93,5.139,[Ne]3s1,227,+1,0.548,370.95,1156,1807,Metal,Alkali metal
12,Mg,منیزیم,Magnesium,24.305,1.74,Solid,1.31,7.646,[Ne]3s2,173,+2,,923,1363,1808,Metal,Alkaline earth metal
13,آلومینیوم,Al,Aluminum,26.981538,2.70,Solid,1.61,5.986,[Ne]3s2 3p1,184,+3,0.441,933.437,2792,Ancient,Metal,Post-transition metal
